# To display the perf.data header info, please use --header/--header-only options.
# Total Lost Samples: 0
# Samples: 15K of event 'cpu_atom/cycles/u'
# Event count (approx.): 262380853731
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
    57.33%  [.] isce3::core::Orbit::interpolate(isce3::core::Vector<3, double>*, isce3::core::Vector<3, double>*, double, isce3::core::OrbitInterpBorderMode) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     7.31%  [.] isce3::core::Orbit::interpolate(isce3::core::Vector<3, double>*, isce3::core::Vector<3, double>*, double, isce3::core::OrbitInterpBorderMode) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     6.92%  [.] isce3::error::ErrorCode isce3::geometry::detail::geo2rdr<isce3::core::Orbit, isce3::core::LUT2d<double> >(double*, double*, isce3::core::Vector<3, double> const&, isce3::core::Ellipsoid const&, isce3::core::Orbit const&, isce3::core::LUT2d<double> const&, double, isce3::core::LookSide, double, isce3::geometry::detail::Geo2RdrParams const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     5.04%  [.] isce3::core::Spline2dInterpolator<float>::_initSpline(isce3::core::detail::SSOBuffer<float, 32ul> const&, int, isce3::core::detail::SSOBuffer<float, 32ul>&, isce3::core::detail::SSOBuffer<float, 32ul>&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     2.87%  [.] isce3::core::Spline2dInterpolator<float>::_spline(double, isce3::core::detail::SSOBuffer<float, 32ul> const&, int, isce3::core::detail::SSOBuffer<float, 32ul> const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     2.63%  [.] isce3::geocode::interpolate(Eigen::Ref<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, Eigen::Ref<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> >, isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, int, int, isce3::core::Interpolator<std::complex<float> > const*, isce3::product::RadarGridParameters const&, isce3::core::LUT2d<double> const&) [clone ._omp_fn.0]                                                                                                                                                                                                                                                                                                                                                                    -      -            
     2.57%  [.] isce3::core::Sinc2dInterpolator<std::complex<float> >::_sinc_eval_2d(Eigen::Map<Eigen::Array<std::complex<float>, -1, -1, 1, -1, -1> const, 0, Eigen::Stride<0, 0> > const&, int, int, double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     1.10%  [.] isce3::core::Spline2dInterpolator<float>::interp_impl(double, double, Eigen::Map<Eigen::Array<float, -1, -1, 1, -1, -1> const, 0, Eigen::Stride<0, 0> > const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.89%  [.] isce3::error::ErrorCode isce3::geometry::detail::geo2rdr<isce3::core::Orbit, isce3::core::LUT2d<double> >(double*, double*, isce3::core::Vector<3, double> const&, isce3::core::Ellipsoid const&, isce3::core::Orbit const&, isce3::core::LUT2d<double> const&, double, isce3::core::LookSide, double, isce3::geometry::detail::Geo2RdrParams const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.85%  [.] blas_thread_server                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.79%  [.] isce3::core::LUT2d<double>::eval(double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.75%  [.] isce3::core::Spline2dInterpolator<float>::_initSpline(isce3::core::detail::SSOBuffer<float, 32ul> const&, int, isce3::core::detail::SSOBuffer<float, 32ul>&, isce3::core::detail::SSOBuffer<float, 32ul>&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.73%  [.] isce3::geometry::DEMInterpolator::interpolateXY(double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.61%  [.] isce3::geocode::computeGeogridRadarIndicesAndMask(isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, isce3::core::Matrix<double>&, std::optional<Eigen::Ref<Eigen::Array<unsigned char, -1, -1, 1, -1, -1>, 0, Eigen::OuterStride<-1> > >, isce3::geometry::DEMInterpolator const&, isce3::product::GeoGridParameters const&, unsigned long, unsigned long, isce3::product::RadarGridParameters const&, isce3::product::RadarGridParameters const&, isce3::core::Orbit const&, isce3::core::Ellipsoid const&, isce3::core::LUT2d<double> const&, isce3::core::LUT2d<double> const&, double, int, isce3::core::LUT2d<double> const&, isce3::core::LUT2d<double> const&, isce3::core::ProjectionBase const*, bool, unsigned long, isce3::product::SubSwaths const*) [clone ._omp_fn.0]                              -      -            
     0.52%  [.] isce3::core::Poly2d::eval(double, double) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
